Comment,Designator,Footprint,LCSC
"22pF","C1,C2","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C3,C4,C5,C6","Capacitor_SMD:C_0805_2012Metric",""
"4.7uF","C7","Capacitor_SMD:C_0805_2012Metric",""
"1uF","C8","Capacitor_SMD:C_0805_2012Metric",""
"D","D1,D2,D3,D4,D5","Diode_SMD:D_SOD-123",""
"USB_mini_micro_B","J1","keyboard_parts:USB_miniB_hirose_5S8",""
"KEYSW","K1,K2,K3,K4","keebs:Mx_Alps_100",""
"KEYSW","K5","keebs:Mx_Alps_200",""
"10k","R1,R2","Resistor_SMD:R_0805_2012Metric",""
"22","R3,R4","Resistor_SMD:R_0805_2012Metric",""
"SW_PUSH","SW1","random-keyboard-parts:SKQG-1155865",""
"ATMEGA32U4","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm",""
"16Mhz","Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""